road_name,road_distance,route_name,bus_station,brt_station,peak_hours,average_speed,travel_time,fare,landmark_nearby,road_type,traffic_lights_count,route_type,congestion_level,passenger_capacity,alternative_routes,bus_station_location,brt_station_location,geojson_data
Sam Nujoma Road,18.7,Route 14,Mwenge,Gerezani,12:00-14:00,27,109,1000,Kariakoo Market,Main Road,7,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.844875, 39.342912","-6.841547, 39.23601","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.342912, -6.844875]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 14', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Bagamoyo Road,20.5,Route 11,Magomeni,Kivukoni,07:00-09:00,21,97,2000,Posta City Center,Main Road,8,Bus,Medium,50,Alt-Bagamoyo Road,"-6.77463, 39.392679","-6.708118, 39.338966","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.392679, -6.77463]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 11', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Morogoro Road,15.3,Route 7,Tegeta,Ubungo,12:00-14:00,49,96,1000,National Stadium,Highway,2,Bus,Low,50,Alt-Morogoro Road,"-6.812549, 39.325642","-6.797978, 39.343216","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.325642, -6.812549]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 7', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,12.2,Route 13,Kimara,Magomeni,07:00-09:00,11,111,500,Uhuru Stadium,Highway,2,Bus,High,50,Alt-Ali Hassan Mwinyi Road,"-6.878602, 39.301804","-6.706767, 39.267434","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.301804, -6.878602]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 13', 'station': 'Kimara', 'congestion_level': 'High'}}"
Bagamoyo Road,20.5,Route 8,Sinza,Kimara,07:00-09:00,55,51,1500,Posta City Center,Feeder Road,3,Bus,Low,50,Alt-Bagamoyo Road,"-6.895997, 39.20299","-6.875535, 39.374181","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.20299, -6.895997]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 8', 'station': 'Sinza', 'congestion_level': 'Low'}}"
Bagamoyo Road,12.2,Route 17,Ubungo,Ubungo,17:00-19:00,48,22,1500,Mlimani City Mall,Main Road,4,Bus,Low,50,Alt-Bagamoyo Road,"-6.860311, 39.246305","-6.780735, 39.325335","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.246305, -6.860311]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 17', 'station': 'Ubungo', 'congestion_level': 'Low'}}"
Sam Nujoma Road,18.7,Route 16,Mbagala,Kariakoo,07:00-09:00,59,80,2000,Uhuru Stadium,Main Road,4,Bus,Low,50,Alt-Sam Nujoma Road,"-6.776751, 39.39054","-6.784853, 39.344977","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.39054, -6.776751]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 16', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Morogoro Road,25.6,Route 12,Buguruni,Magomeni,12:00-14:00,40,114,2000,Kariakoo Market,Feeder Road,9,Bus,Medium,50,Alt-Morogoro Road,"-6.749596, 39.304279","-6.807978, 39.248258","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.304279, -6.749596]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 12', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,25.6,Route 16,Magomeni,Kariakoo,07:00-09:00,55,44,1000,Uhuru Stadium,Main Road,6,Bus,Low,50,Alt-Sam Nujoma Road,"-6.850713, 39.245562","-6.703272, 39.364715","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.245562, -6.850713]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 16', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Nyerere Road,25.6,Route 12,Ubungo,Kariakoo,17:00-19:00,31,86,2000,Kariakoo Market,Highway,4,Bus,Medium,50,Alt-Nyerere Road,"-6.883902, 39.286437","-6.824543, 39.276633","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.286437, -6.883902]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 12', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,20.5,Route 13,Tegeta,Gerezani,07:00-09:00,24,14,1000,Mlimani City Mall,Feeder Road,8,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.859722, 39.223833","-6.772755, 39.29826","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.223833, -6.859722]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 13', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Morogoro Road,12.2,Route 6,Kariakoo,Mbezi,17:00-19:00,40,34,2000,Posta City Center,Feeder Road,4,Bus,Medium,50,Alt-Morogoro Road,"-6.791666, 39.365199","-6.762357, 39.248358","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.365199, -6.791666]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 6', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,20.5,Route 15,Magomeni,Kivukoni,17:00-19:00,39,34,500,Posta City Center,Main Road,8,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.714549, 39.315626","-6.743661, 39.314647","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.315626, -6.714549]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 15', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Morogoro Road,18.7,Route 14,Magomeni,Magomeni,07:00-09:00,42,32,500,Uhuru Stadium,Highway,2,Bus,Low,50,Alt-Morogoro Road,"-6.812141, 39.25312","-6.739661, 39.389128","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.25312, -6.812141]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 14', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Sam Nujoma Road,25.6,Route 14,Ubungo,Magomeni,07:00-09:00,11,35,2000,National Stadium,Main Road,7,Bus,High,50,Alt-Sam Nujoma Road,"-6.724746, 39.24778","-6.859311, 39.37672","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.24778, -6.724746]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 14', 'station': 'Ubungo', 'congestion_level': 'High'}}"
Ali Hassan Mwinyi Road,18.7,Route 6,Kimara,Kimara,12:00-14:00,32,45,1000,Mlimani City Mall,Feeder Road,7,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.734212, 39.379932","-6.897285, 39.362981","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.379932, -6.734212]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 6', 'station': 'Kimara', 'congestion_level': 'Medium'}}"
Bagamoyo Road,18.7,Route 14,Kariakoo,Magomeni,12:00-14:00,18,19,1000,Posta City Center,Feeder Road,3,Bus,High,50,Alt-Bagamoyo Road,"-6.827914, 39.237567","-6.783886, 39.271358","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.237567, -6.827914]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 14', 'station': 'Kariakoo', 'congestion_level': 'High'}}"
Morogoro Road,20.5,Route 6,Kariakoo,Magomeni,17:00-19:00,27,94,1500,National Stadium,Highway,2,Bus,Medium,50,Alt-Morogoro Road,"-6.723914, 39.292681","-6.736989, 39.273925","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.292681, -6.723914]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 6', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Bagamoyo Road,25.6,Route 12,Sinza,Magomeni,07:00-09:00,38,68,1500,Uhuru Stadium,Main Road,1,Bus,Medium,50,Alt-Bagamoyo Road,"-6.760744, 39.273965","-6.708749, 39.305245","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.273965, -6.760744]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 12', 'station': 'Sinza', 'congestion_level': 'Medium'}}"
Morogoro Road,15.3,Route 2,Mwenge,Kimara,17:00-19:00,13,66,500,Mlimani City Mall,Feeder Road,2,Bus,High,50,Alt-Morogoro Road,"-6.839272, 39.371989","-6.858263, 39.352658","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.371989, -6.839272]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 2', 'station': 'Mwenge', 'congestion_level': 'High'}}"
Morogoro Road,18.7,Route 12,Kariakoo,Mbezi,17:00-19:00,11,71,1000,Uhuru Stadium,Main Road,0,Bus,High,50,Alt-Morogoro Road,"-6.721428, 39.345275","-6.724729, 39.362249","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.345275, -6.721428]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 12', 'station': 'Kariakoo', 'congestion_level': 'High'}}"
Sam Nujoma Road,15.3,Route 12,Mwenge,Mbezi,17:00-19:00,32,80,2000,Uhuru Stadium,Highway,0,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.754952, 39.200254","-6.827304, 39.274409","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.200254, -6.754952]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 12', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Morogoro Road,15.3,Route 9,Kariakoo,Kimara,07:00-09:00,30,102,500,National Stadium,Main Road,2,Bus,Medium,50,Alt-Morogoro Road,"-6.819579, 39.338268","-6.857888, 39.333715","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.338268, -6.819579]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 9', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,18.7,Route 16,Tegeta,Mbezi,12:00-14:00,21,25,700,Uhuru Stadium,Highway,1,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.730441, 39.246595","-6.863926, 39.220894","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.246595, -6.730441]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 16', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Morogoro Road,15.3,Route 4,Mwenge,Kimara,12:00-14:00,53,24,2000,National Stadium,Feeder Road,0,Bus,Low,50,Alt-Morogoro Road,"-6.851568, 39.247793","-6.740664, 39.205584","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.247793, -6.851568]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 4', 'station': 'Mwenge', 'congestion_level': 'Low'}}"
Bagamoyo Road,15.3,Route 17,Kimara,Kimara,12:00-14:00,45,55,1500,Mlimani City Mall,Main Road,0,Bus,Low,50,Alt-Bagamoyo Road,"-6.825673, 39.261414","-6.770531, 39.334379","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.261414, -6.825673]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 17', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Nyerere Road,12.2,Route 1,Ubungo,Kariakoo,12:00-14:00,25,66,1000,National Stadium,Feeder Road,2,Bus,Medium,50,Alt-Nyerere Road,"-6.827762, 39.309679","-6.839002, 39.274014","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.309679, -6.827762]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 1', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Morogoro Road,15.3,Route 7,Mwenge,Ubungo,07:00-09:00,36,71,1000,Kariakoo Market,Main Road,7,Bus,Medium,50,Alt-Morogoro Road,"-6.861107, 39.21494","-6.750399, 39.247175","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.21494, -6.861107]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 7', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Morogoro Road,12.2,Route 6,Tegeta,Mbezi,12:00-14:00,42,64,1000,Posta City Center,Feeder Road,7,Bus,Low,50,Alt-Morogoro Road,"-6.895863, 39.217212","-6.873766, 39.324071","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.217212, -6.895863]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 6', 'station': 'Tegeta', 'congestion_level': 'Low'}}"
Morogoro Road,12.2,Route 1,Mwenge,Kivukoni,17:00-19:00,58,19,1000,Kariakoo Market,Highway,8,Bus,Low,50,Alt-Morogoro Road,"-6.853772, 39.202827","-6.885678, 39.284067","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.202827, -6.853772]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 1', 'station': 'Mwenge', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,25.6,Route 16,Magomeni,Gerezani,12:00-14:00,41,47,1500,Posta City Center,Main Road,3,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.875553, 39.285166","-6.886954, 39.243663","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.285166, -6.875553]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 16', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Bagamoyo Road,18.7,Route 4,Ubungo,Ubungo,12:00-14:00,26,14,1000,National Stadium,Feeder Road,8,Bus,Medium,50,Alt-Bagamoyo Road,"-6.710418, 39.395665","-6.890455, 39.272953","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.395665, -6.710418]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 4', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,25.6,Route 6,Posta,Kariakoo,07:00-09:00,44,55,1500,National Stadium,Main Road,7,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.814575, 39.247285","-6.744293, 39.323325","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.247285, -6.814575]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 6', 'station': 'Posta', 'congestion_level': 'Low'}}"
Sam Nujoma Road,25.6,Route 10,Kimara,Kivukoni,12:00-14:00,59,81,500,Uhuru Stadium,Feeder Road,1,Bus,Low,50,Alt-Sam Nujoma Road,"-6.84728, 39.215442","-6.815387, 39.205308","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.215442, -6.84728]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 10', 'station': 'Kimara', 'congestion_level': 'Low'}}"
Ali Hassan Mwinyi Road,20.5,Route 4,Mbagala,Kivukoni,17:00-19:00,22,11,700,Kariakoo Market,Main Road,8,Bus,Medium,50,Alt-Ali Hassan Mwinyi Road,"-6.7075, 39.260832","-6.836719, 39.21996","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.260832, -6.7075]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 4', 'station': 'Mbagala', 'congestion_level': 'Medium'}}"
Bagamoyo Road,15.3,Route 8,Mwenge,Kivukoni,12:00-14:00,21,23,1000,Kariakoo Market,Feeder Road,0,Bus,Medium,50,Alt-Bagamoyo Road,"-6.875909, 39.227954","-6.75669, 39.284481","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.227954, -6.875909]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 8', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Bagamoyo Road,18.7,Route 14,Buguruni,Mbezi,07:00-09:00,16,109,2000,Uhuru Stadium,Feeder Road,8,Bus,High,50,Alt-Bagamoyo Road,"-6.789056, 39.302987","-6.736855, 39.256979","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.302987, -6.789056]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 14', 'station': 'Buguruni', 'congestion_level': 'High'}}"
Bagamoyo Road,15.3,Route 14,Magomeni,Kivukoni,17:00-19:00,49,60,1500,Posta City Center,Highway,9,Bus,Low,50,Alt-Bagamoyo Road,"-6.74076, 39.290807","-6.736491, 39.212381","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.290807, -6.74076]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 14', 'station': 'Magomeni', 'congestion_level': 'Low'}}"
Bagamoyo Road,15.3,Route 15,Kariakoo,Gerezani,17:00-19:00,40,85,2000,Mlimani City Mall,Main Road,7,Bus,Medium,50,Alt-Bagamoyo Road,"-6.705449, 39.217383","-6.750364, 39.318339","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.217383, -6.705449]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 15', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,25.6,Route 7,Tegeta,Kimara,17:00-19:00,38,113,2000,National Stadium,Feeder Road,2,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.830792, 39.234715","-6.758058, 39.39886","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.234715, -6.830792]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 7', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Morogoro Road,15.3,Route 16,Kariakoo,Kimara,17:00-19:00,50,93,700,Posta City Center,Feeder Road,8,Bus,Low,50,Alt-Morogoro Road,"-6.895911, 39.392854","-6.768995, 39.226286","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.392854, -6.895911]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 16', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Bagamoyo Road,25.6,Route 4,Magomeni,Mbezi,17:00-19:00,35,66,500,Mlimani City Mall,Main Road,3,Bus,Medium,50,Alt-Bagamoyo Road,"-6.868468, 39.376455","-6.876219, 39.276688","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.376455, -6.868468]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 4', 'station': 'Magomeni', 'congestion_level': 'Medium'}}"
Ali Hassan Mwinyi Road,25.6,Route 12,Kariakoo,Kivukoni,12:00-14:00,58,92,500,National Stadium,Highway,7,Bus,Low,50,Alt-Ali Hassan Mwinyi Road,"-6.752348, 39.304511","-6.768377, 39.350005","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.304511, -6.752348]}, 'properties': {'road_name': 'Ali Hassan Mwinyi Road', 'route_name': 'Route 12', 'station': 'Kariakoo', 'congestion_level': 'Low'}}"
Morogoro Road,20.5,Route 13,Mbagala,Mbezi,17:00-19:00,56,42,500,Posta City Center,Feeder Road,7,Bus,Low,50,Alt-Morogoro Road,"-6.794937, 39.295983","-6.849069, 39.282322","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.295983, -6.794937]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 13', 'station': 'Mbagala', 'congestion_level': 'Low'}}"
Bagamoyo Road,15.3,Route 15,Tegeta,Gerezani,07:00-09:00,28,93,700,National Stadium,Highway,5,Bus,Medium,50,Alt-Bagamoyo Road,"-6.838714, 39.362532","-6.721899, 39.246834","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.362532, -6.838714]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 15', 'station': 'Tegeta', 'congestion_level': 'Medium'}}"
Bagamoyo Road,12.2,Route 14,Mwenge,Mbezi,07:00-09:00,19,44,2000,Posta City Center,Feeder Road,2,Bus,High,50,Alt-Bagamoyo Road,"-6.78363, 39.29425","-6.899736, 39.313863","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.29425, -6.78363]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 14', 'station': 'Mwenge', 'congestion_level': 'High'}}"
Bagamoyo Road,25.6,Route 13,Kariakoo,Kivukoni,17:00-19:00,31,11,1500,National Stadium,Highway,4,Bus,Medium,50,Alt-Bagamoyo Road,"-6.864593, 39.375265","-6.702866, 39.227145","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.375265, -6.864593]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 13', 'station': 'Kariakoo', 'congestion_level': 'Medium'}}"
Morogoro Road,20.5,Route 3,Mwenge,Mbezi,17:00-19:00,22,104,1500,Mlimani City Mall,Highway,6,Bus,Medium,50,Alt-Morogoro Road,"-6.719993, 39.323503","-6.750689, 39.233363","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.323503, -6.719993]}, 'properties': {'road_name': 'Morogoro Road', 'route_name': 'Route 3', 'station': 'Mwenge', 'congestion_level': 'Medium'}}"
Sam Nujoma Road,20.5,Route 3,Buguruni,Kimara,07:00-09:00,26,92,500,Uhuru Stadium,Highway,8,Bus,Medium,50,Alt-Sam Nujoma Road,"-6.757797, 39.226164","-6.710442, 39.298667","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.226164, -6.757797]}, 'properties': {'road_name': 'Sam Nujoma Road', 'route_name': 'Route 3', 'station': 'Buguruni', 'congestion_level': 'Medium'}}"
Nyerere Road,15.3,Route 9,Ubungo,Ubungo,12:00-14:00,23,81,500,Mlimani City Mall,Highway,9,Bus,Medium,50,Alt-Nyerere Road,"-6.868077, 39.365336","-6.887502, 39.255768","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.365336, -6.868077]}, 'properties': {'road_name': 'Nyerere Road', 'route_name': 'Route 9', 'station': 'Ubungo', 'congestion_level': 'Medium'}}"
Bagamoyo Road,15.3,Route 6,Kariakoo,Magomeni,17:00-19:00,19,62,1500,Kariakoo Market,Highway,3,Bus,High,50,Alt-Bagamoyo Road,"-6.76766, 39.34953","-6.893382, 39.333627","{'type': 'Feature', 'geometry': {'type': 'Point', 'coordinates': [39.34953, -6.76766]}, 'properties': {'road_name': 'Bagamoyo Road', 'route_name': 'Route 6', 'station': 'Kariakoo', 'congestion_level': 'High'}}"
